id,org_unit,indicator,period,deaths
8182,Baringo County,Total Perinatal Deaths,May 2025,31
8183,Baringo County,Total Perinatal Deaths,June 2025,30
8184,Baringo County,Total Perinatal Deaths,July 2025,24
8185,Baringo County,Total Perinatal Deaths,August 2025,22
8186,Baringo County,Total Perinatal Deaths,September 2025,26
8187,Baringo County,Total Perinatal Deaths,October 2025,30
8188,Baringo County,Total Perinatal Deaths,November 2025,35
8189,Baringo County,Total Perinatal Deaths,December 2025,29
8190,Baringo County,Total Perinatal Deaths,January 2026,28
8191,Baringo County,Total Perinatal Deaths,February 2026,18
8192,Baringo County,Total Perinatal Deaths,March 2026,40
8193,Baringo County,Total Perinatal Deaths,April 2026,27
8194,Bomet County,Total Perinatal Deaths,May 2025,29
8195,Bomet County,Total Perinatal Deaths,June 2025,34
8196,Bomet County,Total Perinatal Deaths,July 2025,39
8197,Bomet County,Total Perinatal Deaths,August 2025,24
8198,Bomet County,Total Perinatal Deaths,September 2025,43
8199,Bomet County,Total Perinatal Deaths,October 2025,43
8200,Bomet County,Total Perinatal Deaths,November 2025,27
8201,Bomet County,Total Perinatal Deaths,December 2025,35
8202,Bomet County,Total Perinatal Deaths,January 2026,56
8203,Bomet County,Total Perinatal Deaths,February 2026,38
8204,Bomet County,Total Perinatal Deaths,March 2026,39
8205,Bomet County,Total Perinatal Deaths,April 2026,56
8206,Bungoma County,Total Perinatal Deaths,May 2025,75
8207,Bungoma County,Total Perinatal Deaths,June 2025,76
8208,Bungoma County,Total Perinatal Deaths,July 2025,99
8209,Bungoma County,Total Perinatal Deaths,August 2025,91
8210,Bungoma County,Total Perinatal Deaths,September 2025,76
8211,Bungoma County,Total Perinatal Deaths,October 2025,74
8212,Bungoma County,Total Perinatal Deaths,November 2025,77
8213,Bungoma County,Total Perinatal Deaths,December 2025,59
8214,Bungoma County,Total Perinatal Deaths,January 2026,64
8215,Bungoma County,Total Perinatal Deaths,February 2026,70
8216,Bungoma County,Total Perinatal Deaths,March 2026,82
8217,Bungoma County,Total Perinatal Deaths,April 2026,77
8218,Busia County,Total Perinatal Deaths,May 2025,46
8219,Busia County,Total Perinatal Deaths,June 2025,30
8220,Busia County,Total Perinatal Deaths,July 2025,36
8221,Busia County,Total Perinatal Deaths,August 2025,32
8222,Busia County,Total Perinatal Deaths,September 2025,36
8223,Busia County,Total Perinatal Deaths,October 2025,66
8224,Busia County,Total Perinatal Deaths,November 2025,40
8225,Busia County,Total Perinatal Deaths,December 2025,35
8226,Busia County,Total Perinatal Deaths,January 2026,47
8227,Busia County,Total Perinatal Deaths,February 2026,32
8228,Busia County,Total Perinatal Deaths,March 2026,35
8229,Busia County,Total Perinatal Deaths,April 2026,37
8230,Elgeyo Marakwet County,Total Perinatal Deaths,May 2025,23
8231,Elgeyo Marakwet County,Total Perinatal Deaths,June 2025,12
8232,Elgeyo Marakwet County,Total Perinatal Deaths,July 2025,26
8233,Elgeyo Marakwet County,Total Perinatal Deaths,August 2025,22
8234,Elgeyo Marakwet County,Total Perinatal Deaths,September 2025,37
8235,Elgeyo Marakwet County,Total Perinatal Deaths,October 2025,26
8236,Elgeyo Marakwet County,Total Perinatal Deaths,November 2025,10
8237,Elgeyo Marakwet County,Total Perinatal Deaths,December 2025,13
8238,Elgeyo Marakwet County,Total Perinatal Deaths,January 2026,15
8239,Elgeyo Marakwet County,Total Perinatal Deaths,February 2026,15
8240,Elgeyo Marakwet County,Total Perinatal Deaths,March 2026,18
8241,Elgeyo Marakwet County,Total Perinatal Deaths,April 2026,16
8242,Embu County,Total Perinatal Deaths,May 2025,31
8243,Embu County,Total Perinatal Deaths,June 2025,31
8244,Embu County,Total Perinatal Deaths,July 2025,47
8245,Embu County,Total Perinatal Deaths,August 2025,38
8246,Embu County,Total Perinatal Deaths,September 2025,25
8247,Embu County,Total Perinatal Deaths,October 2025,39
8248,Embu County,Total Perinatal Deaths,November 2025,21
8249,Embu County,Total Perinatal Deaths,December 2025,28
8250,Embu County,Total Perinatal Deaths,January 2026,21
8251,Embu County,Total Perinatal Deaths,February 2026,24
8252,Embu County,Total Perinatal Deaths,March 2026,26
8253,Embu County,Total Perinatal Deaths,April 2026,17
8254,Garissa County,Total Perinatal Deaths,May 2025,81
8255,Garissa County,Total Perinatal Deaths,June 2025,74
8256,Garissa County,Total Perinatal Deaths,July 2025,62
8257,Garissa County,Total Perinatal Deaths,August 2025,47
8258,Garissa County,Total Perinatal Deaths,September 2025,42
8259,Garissa County,Total Perinatal Deaths,October 2025,46
8260,Garissa County,Total Perinatal Deaths,November 2025,58
8261,Garissa County,Total Perinatal Deaths,December 2025,63
8262,Garissa County,Total Perinatal Deaths,January 2026,64
8263,Garissa County,Total Perinatal Deaths,February 2026,69
8264,Garissa County,Total Perinatal Deaths,March 2026,97
8265,Garissa County,Total Perinatal Deaths,April 2026,97
8266,Homa Bay County,Total Perinatal Deaths,May 2025,43
8267,Homa Bay County,Total Perinatal Deaths,June 2025,38
8268,Homa Bay County,Total Perinatal Deaths,July 2025,42
8269,Homa Bay County,Total Perinatal Deaths,August 2025,37
8270,Homa Bay County,Total Perinatal Deaths,September 2025,51
8271,Homa Bay County,Total Perinatal Deaths,October 2025,48
8272,Homa Bay County,Total Perinatal Deaths,November 2025,43
8273,Homa Bay County,Total Perinatal Deaths,December 2025,44
8274,Homa Bay County,Total Perinatal Deaths,January 2026,56
8275,Homa Bay County,Total Perinatal Deaths,February 2026,48
8276,Homa Bay County,Total Perinatal Deaths,March 2026,38
8277,Homa Bay County,Total Perinatal Deaths,April 2026,36
8278,Isiolo County,Total Perinatal Deaths,May 2025,15
8279,Isiolo County,Total Perinatal Deaths,June 2025,7
8280,Isiolo County,Total Perinatal Deaths,July 2025,10
8281,Isiolo County,Total Perinatal Deaths,August 2025,13
8282,Isiolo County,Total Perinatal Deaths,September 2025,7
8283,Isiolo County,Total Perinatal Deaths,October 2025,11
8284,Isiolo County,Total Perinatal Deaths,November 2025,12
8285,Isiolo County,Total Perinatal Deaths,December 2025,20
8286,Isiolo County,Total Perinatal Deaths,January 2026,6
8287,Isiolo County,Total Perinatal Deaths,February 2026,16
8288,Isiolo County,Total Perinatal Deaths,March 2026,11
8289,Isiolo County,Total Perinatal Deaths,April 2026,5
8290,Kajiado County,Total Perinatal Deaths,May 2025,66
8291,Kajiado County,Total Perinatal Deaths,June 2025,75
8292,Kajiado County,Total Perinatal Deaths,July 2025,62
8293,Kajiado County,Total Perinatal Deaths,August 2025,65
8294,Kajiado County,Total Perinatal Deaths,September 2025,47
8295,Kajiado County,Total Perinatal Deaths,October 2025,65
8296,Kajiado County,Total Perinatal Deaths,November 2025,53
8297,Kajiado County,Total Perinatal Deaths,December 2025,61
8298,Kajiado County,Total Perinatal Deaths,January 2026,59
8299,Kajiado County,Total Perinatal Deaths,February 2026,41
8300,Kajiado County,Total Perinatal Deaths,March 2026,72
8301,Kajiado County,Total Perinatal Deaths,April 2026,81
8302,Kakamega County,Total Perinatal Deaths,May 2025,69
8303,Kakamega County,Total Perinatal Deaths,June 2025,75
8304,Kakamega County,Total Perinatal Deaths,July 2025,113
8305,Kakamega County,Total Perinatal Deaths,August 2025,97
8306,Kakamega County,Total Perinatal Deaths,September 2025,102
8307,Kakamega County,Total Perinatal Deaths,October 2025,104
8308,Kakamega County,Total Perinatal Deaths,November 2025,94
8309,Kakamega County,Total Perinatal Deaths,December 2025,99
8310,Kakamega County,Total Perinatal Deaths,January 2026,94
8311,Kakamega County,Total Perinatal Deaths,February 2026,97
8312,Kakamega County,Total Perinatal Deaths,March 2026,112
8313,Kakamega County,Total Perinatal Deaths,April 2026,94
8314,Kericho County,Total Perinatal Deaths,May 2025,67
8315,Kericho County,Total Perinatal Deaths,June 2025,55
8316,Kericho County,Total Perinatal Deaths,July 2025,41
8317,Kericho County,Total Perinatal Deaths,August 2025,34
8318,Kericho County,Total Perinatal Deaths,September 2025,35
8319,Kericho County,Total Perinatal Deaths,October 2025,53
8320,Kericho County,Total Perinatal Deaths,November 2025,60
8321,Kericho County,Total Perinatal Deaths,December 2025,50
8322,Kericho County,Total Perinatal Deaths,January 2026,40
8323,Kericho County,Total Perinatal Deaths,February 2026,51
8324,Kericho County,Total Perinatal Deaths,March 2026,55
8325,Kericho County,Total Perinatal Deaths,April 2026,43
8326,Kiambu County,Total Perinatal Deaths,May 2025,95
8327,Kiambu County,Total Perinatal Deaths,June 2025,90
8328,Kiambu County,Total Perinatal Deaths,July 2025,91
8329,Kiambu County,Total Perinatal Deaths,August 2025,95
8330,Kiambu County,Total Perinatal Deaths,September 2025,110
8331,Kiambu County,Total Perinatal Deaths,October 2025,96
8332,Kiambu County,Total Perinatal Deaths,November 2025,100
8333,Kiambu County,Total Perinatal Deaths,December 2025,101
8334,Kiambu County,Total Perinatal Deaths,January 2026,87
8335,Kiambu County,Total Perinatal Deaths,February 2026,91
8336,Kiambu County,Total Perinatal Deaths,March 2026,88
8337,Kiambu County,Total Perinatal Deaths,April 2026,103
8338,Kilifi County,Total Perinatal Deaths,May 2025,109
8339,Kilifi County,Total Perinatal Deaths,June 2025,104
8340,Kilifi County,Total Perinatal Deaths,July 2025,89
8341,Kilifi County,Total Perinatal Deaths,August 2025,81
8342,Kilifi County,Total Perinatal Deaths,September 2025,70
8343,Kilifi County,Total Perinatal Deaths,October 2025,100
8344,Kilifi County,Total Perinatal Deaths,November 2025,89
8345,Kilifi County,Total Perinatal Deaths,December 2025,80
8346,Kilifi County,Total Perinatal Deaths,January 2026,137
8347,Kilifi County,Total Perinatal Deaths,February 2026,93
8348,Kilifi County,Total Perinatal Deaths,March 2026,94
8349,Kilifi County,Total Perinatal Deaths,April 2026,146
8350,Kirinyaga County,Total Perinatal Deaths,May 2025,21
8351,Kirinyaga County,Total Perinatal Deaths,June 2025,26
8352,Kirinyaga County,Total Perinatal Deaths,July 2025,31
8353,Kirinyaga County,Total Perinatal Deaths,August 2025,24
8354,Kirinyaga County,Total Perinatal Deaths,September 2025,26
8355,Kirinyaga County,Total Perinatal Deaths,October 2025,44
8356,Kirinyaga County,Total Perinatal Deaths,November 2025,20
8357,Kirinyaga County,Total Perinatal Deaths,December 2025,30
8358,Kirinyaga County,Total Perinatal Deaths,January 2026,22
8359,Kirinyaga County,Total Perinatal Deaths,February 2026,22
8360,Kirinyaga County,Total Perinatal Deaths,March 2026,33
8361,Kirinyaga County,Total Perinatal Deaths,April 2026,29
8362,Kisii County,Total Perinatal Deaths,May 2025,37
8363,Kisii County,Total Perinatal Deaths,June 2025,35
8364,Kisii County,Total Perinatal Deaths,July 2025,43
8365,Kisii County,Total Perinatal Deaths,August 2025,28
8366,Kisii County,Total Perinatal Deaths,September 2025,33
8367,Kisii County,Total Perinatal Deaths,October 2025,32
8368,Kisii County,Total Perinatal Deaths,November 2025,30
8369,Kisii County,Total Perinatal Deaths,December 2025,31
8370,Kisii County,Total Perinatal Deaths,January 2026,19
8371,Kisii County,Total Perinatal Deaths,February 2026,30
8372,Kisii County,Total Perinatal Deaths,March 2026,28
8373,Kisii County,Total Perinatal Deaths,April 2026,42
8374,Kisumu County,Total Perinatal Deaths,May 2025,55
8375,Kisumu County,Total Perinatal Deaths,June 2025,85
8376,Kisumu County,Total Perinatal Deaths,July 2025,86
8377,Kisumu County,Total Perinatal Deaths,August 2025,67
8378,Kisumu County,Total Perinatal Deaths,September 2025,43
8379,Kisumu County,Total Perinatal Deaths,October 2025,73
8380,Kisumu County,Total Perinatal Deaths,November 2025,81
8381,Kisumu County,Total Perinatal Deaths,December 2025,68
8382,Kisumu County,Total Perinatal Deaths,January 2026,66
8383,Kisumu County,Total Perinatal Deaths,February 2026,62
8384,Kisumu County,Total Perinatal Deaths,March 2026,79
8385,Kisumu County,Total Perinatal Deaths,April 2026,41
8386,Kitui County,Total Perinatal Deaths,May 2025,64
8387,Kitui County,Total Perinatal Deaths,June 2025,49
8388,Kitui County,Total Perinatal Deaths,July 2025,56
8389,Kitui County,Total Perinatal Deaths,August 2025,39
8390,Kitui County,Total Perinatal Deaths,September 2025,53
8391,Kitui County,Total Perinatal Deaths,October 2025,72
8392,Kitui County,Total Perinatal Deaths,November 2025,51
8393,Kitui County,Total Perinatal Deaths,December 2025,50
8394,Kitui County,Total Perinatal Deaths,January 2026,62
8395,Kitui County,Total Perinatal Deaths,February 2026,61
8396,Kitui County,Total Perinatal Deaths,March 2026,68
8397,Kitui County,Total Perinatal Deaths,April 2026,72
8398,Kwale County,Total Perinatal Deaths,May 2025,51
8399,Kwale County,Total Perinatal Deaths,June 2025,54
8400,Kwale County,Total Perinatal Deaths,July 2025,46
8401,Kwale County,Total Perinatal Deaths,August 2025,37
8402,Kwale County,Total Perinatal Deaths,September 2025,44
8403,Kwale County,Total Perinatal Deaths,October 2025,56
8404,Kwale County,Total Perinatal Deaths,November 2025,60
8405,Kwale County,Total Perinatal Deaths,December 2025,71
8406,Kwale County,Total Perinatal Deaths,January 2026,62
8407,Kwale County,Total Perinatal Deaths,February 2026,41
8408,Kwale County,Total Perinatal Deaths,March 2026,82
8409,Kwale County,Total Perinatal Deaths,April 2026,69
8410,Laikipia County,Total Perinatal Deaths,May 2025,78
8411,Laikipia County,Total Perinatal Deaths,June 2025,22
8412,Laikipia County,Total Perinatal Deaths,July 2025,23
8413,Laikipia County,Total Perinatal Deaths,August 2025,32
8414,Laikipia County,Total Perinatal Deaths,September 2025,31
8415,Laikipia County,Total Perinatal Deaths,October 2025,22
8416,Laikipia County,Total Perinatal Deaths,November 2025,30
8417,Laikipia County,Total Perinatal Deaths,December 2025,29
8418,Laikipia County,Total Perinatal Deaths,January 2026,22
8419,Laikipia County,Total Perinatal Deaths,February 2026,23
8420,Laikipia County,Total Perinatal Deaths,March 2026,23
8421,Laikipia County,Total Perinatal Deaths,April 2026,27
8422,Lamu County,Total Perinatal Deaths,May 2025,12
8423,Lamu County,Total Perinatal Deaths,June 2025,7
8424,Lamu County,Total Perinatal Deaths,July 2025,8
8425,Lamu County,Total Perinatal Deaths,August 2025,12
8426,Lamu County,Total Perinatal Deaths,September 2025,9
8427,Lamu County,Total Perinatal Deaths,October 2025,14
8428,Lamu County,Total Perinatal Deaths,November 2025,12
8429,Lamu County,Total Perinatal Deaths,December 2025,9
8430,Lamu County,Total Perinatal Deaths,January 2026,7
8431,Lamu County,Total Perinatal Deaths,February 2026,9
8432,Lamu County,Total Perinatal Deaths,March 2026,8
8433,Lamu County,Total Perinatal Deaths,April 2026,6
8434,Machakos County,Total Perinatal Deaths,May 2025,32
8435,Machakos County,Total Perinatal Deaths,June 2025,35
8436,Machakos County,Total Perinatal Deaths,July 2025,37
8437,Machakos County,Total Perinatal Deaths,August 2025,28
8438,Machakos County,Total Perinatal Deaths,September 2025,27
8439,Machakos County,Total Perinatal Deaths,October 2025,38
8440,Machakos County,Total Perinatal Deaths,November 2025,33
8441,Machakos County,Total Perinatal Deaths,December 2025,34
8442,Machakos County,Total Perinatal Deaths,January 2026,32
8443,Machakos County,Total Perinatal Deaths,February 2026,33
8444,Machakos County,Total Perinatal Deaths,March 2026,34
8445,Machakos County,Total Perinatal Deaths,April 2026,40
8446,Makueni County,Total Perinatal Deaths,May 2025,55
8447,Makueni County,Total Perinatal Deaths,June 2025,35
8448,Makueni County,Total Perinatal Deaths,July 2025,39
8449,Makueni County,Total Perinatal Deaths,August 2025,46
8450,Makueni County,Total Perinatal Deaths,September 2025,30
8451,Makueni County,Total Perinatal Deaths,October 2025,27
8452,Makueni County,Total Perinatal Deaths,November 2025,32
8453,Makueni County,Total Perinatal Deaths,December 2025,26
8454,Makueni County,Total Perinatal Deaths,January 2026,38
8455,Makueni County,Total Perinatal Deaths,February 2026,28
8456,Makueni County,Total Perinatal Deaths,March 2026,40
8457,Makueni County,Total Perinatal Deaths,April 2026,22
8458,Mandera County,Total Perinatal Deaths,May 2025,35
8459,Mandera County,Total Perinatal Deaths,June 2025,16
8460,Mandera County,Total Perinatal Deaths,July 2025,25
8461,Mandera County,Total Perinatal Deaths,August 2025,41
8462,Mandera County,Total Perinatal Deaths,September 2025,39
8463,Mandera County,Total Perinatal Deaths,October 2025,49
8464,Mandera County,Total Perinatal Deaths,November 2025,41
8465,Mandera County,Total Perinatal Deaths,December 2025,42
8466,Mandera County,Total Perinatal Deaths,January 2026,47
8467,Mandera County,Total Perinatal Deaths,February 2026,31
8468,Mandera County,Total Perinatal Deaths,March 2026,47
8469,Mandera County,Total Perinatal Deaths,April 2026,34
8470,Marsabit County,Total Perinatal Deaths,May 2025,20
8471,Marsabit County,Total Perinatal Deaths,June 2025,13
8472,Marsabit County,Total Perinatal Deaths,July 2025,20
8473,Marsabit County,Total Perinatal Deaths,August 2025,19
8474,Marsabit County,Total Perinatal Deaths,September 2025,23
8475,Marsabit County,Total Perinatal Deaths,October 2025,26
8476,Marsabit County,Total Perinatal Deaths,November 2025,11
8477,Marsabit County,Total Perinatal Deaths,December 2025,28
8478,Marsabit County,Total Perinatal Deaths,January 2026,17
8479,Marsabit County,Total Perinatal Deaths,February 2026,12
8480,Marsabit County,Total Perinatal Deaths,March 2026,19
8481,Marsabit County,Total Perinatal Deaths,April 2026,16
8482,Meru County,Total Perinatal Deaths,May 2025,42
8483,Meru County,Total Perinatal Deaths,June 2025,35
8484,Meru County,Total Perinatal Deaths,July 2025,36
8485,Meru County,Total Perinatal Deaths,August 2025,43
8486,Meru County,Total Perinatal Deaths,September 2025,48
8487,Meru County,Total Perinatal Deaths,October 2025,110
8488,Meru County,Total Perinatal Deaths,November 2025,40
8489,Meru County,Total Perinatal Deaths,December 2025,35
8490,Meru County,Total Perinatal Deaths,January 2026,32
8491,Meru County,Total Perinatal Deaths,February 2026,45
8492,Meru County,Total Perinatal Deaths,March 2026,53
8493,Meru County,Total Perinatal Deaths,April 2026,45
8494,Migori County,Total Perinatal Deaths,May 2025,35
8495,Migori County,Total Perinatal Deaths,June 2025,23
8496,Migori County,Total Perinatal Deaths,July 2025,29
8497,Migori County,Total Perinatal Deaths,August 2025,50
8498,Migori County,Total Perinatal Deaths,September 2025,31
8499,Migori County,Total Perinatal Deaths,October 2025,37
8500,Migori County,Total Perinatal Deaths,November 2025,43
8501,Migori County,Total Perinatal Deaths,December 2025,53
8502,Migori County,Total Perinatal Deaths,January 2026,64
8503,Migori County,Total Perinatal Deaths,February 2026,36
8504,Migori County,Total Perinatal Deaths,March 2026,40
8505,Migori County,Total Perinatal Deaths,April 2026,42
8506,Mombasa County,Total Perinatal Deaths,May 2025,95
8507,Mombasa County,Total Perinatal Deaths,June 2025,74
8508,Mombasa County,Total Perinatal Deaths,July 2025,60
8509,Mombasa County,Total Perinatal Deaths,August 2025,71
8510,Mombasa County,Total Perinatal Deaths,September 2025,66
8511,Mombasa County,Total Perinatal Deaths,October 2025,70
8512,Mombasa County,Total Perinatal Deaths,November 2025,82
8513,Mombasa County,Total Perinatal Deaths,December 2025,57
8514,Mombasa County,Total Perinatal Deaths,January 2026,75
8515,Mombasa County,Total Perinatal Deaths,February 2026,68
8516,Mombasa County,Total Perinatal Deaths,March 2026,107
8517,Mombasa County,Total Perinatal Deaths,April 2026,100
8518,Muranga County,Total Perinatal Deaths,May 2025,26
8519,Muranga County,Total Perinatal Deaths,June 2025,25
8520,Muranga County,Total Perinatal Deaths,July 2025,24
8521,Muranga County,Total Perinatal Deaths,August 2025,31
8522,Muranga County,Total Perinatal Deaths,September 2025,35
8523,Muranga County,Total Perinatal Deaths,October 2025,45
8524,Muranga County,Total Perinatal Deaths,November 2025,30
8525,Muranga County,Total Perinatal Deaths,December 2025,29
8526,Muranga County,Total Perinatal Deaths,January 2026,39
8527,Muranga County,Total Perinatal Deaths,February 2026,36
8528,Muranga County,Total Perinatal Deaths,March 2026,32
8529,Muranga County,Total Perinatal Deaths,April 2026,31
8530,Nairobi County,Total Perinatal Deaths,May 2025,275
8531,Nairobi County,Total Perinatal Deaths,June 2025,276
8532,Nairobi County,Total Perinatal Deaths,July 2025,205
8533,Nairobi County,Total Perinatal Deaths,August 2025,209
8534,Nairobi County,Total Perinatal Deaths,September 2025,219
8535,Nairobi County,Total Perinatal Deaths,October 2025,240
8536,Nairobi County,Total Perinatal Deaths,November 2025,236
8537,Nairobi County,Total Perinatal Deaths,December 2025,248
8538,Nairobi County,Total Perinatal Deaths,January 2026,187
8539,Nairobi County,Total Perinatal Deaths,February 2026,246
8540,Nairobi County,Total Perinatal Deaths,March 2026,270
8541,Nairobi County,Total Perinatal Deaths,April 2026,213
8542,Nakuru County,Total Perinatal Deaths,May 2025,115
8543,Nakuru County,Total Perinatal Deaths,June 2025,94
8544,Nakuru County,Total Perinatal Deaths,July 2025,128
8545,Nakuru County,Total Perinatal Deaths,August 2025,137
8546,Nakuru County,Total Perinatal Deaths,September 2025,182
8547,Nakuru County,Total Perinatal Deaths,October 2025,112
8548,Nakuru County,Total Perinatal Deaths,November 2025,115
8549,Nakuru County,Total Perinatal Deaths,December 2025,105
8550,Nakuru County,Total Perinatal Deaths,January 2026,118
8551,Nakuru County,Total Perinatal Deaths,February 2026,117
8552,Nakuru County,Total Perinatal Deaths,March 2026,120
8553,Nakuru County,Total Perinatal Deaths,April 2026,104
8554,Nandi County,Total Perinatal Deaths,May 2025,34
8555,Nandi County,Total Perinatal Deaths,June 2025,37
8556,Nandi County,Total Perinatal Deaths,July 2025,27
8557,Nandi County,Total Perinatal Deaths,August 2025,44
8558,Nandi County,Total Perinatal Deaths,September 2025,35
8559,Nandi County,Total Perinatal Deaths,October 2025,38
8560,Nandi County,Total Perinatal Deaths,November 2025,24
8561,Nandi County,Total Perinatal Deaths,December 2025,37
8562,Nandi County,Total Perinatal Deaths,January 2026,53
8563,Nandi County,Total Perinatal Deaths,February 2026,28
8564,Nandi County,Total Perinatal Deaths,March 2026,29
8565,Nandi County,Total Perinatal Deaths,April 2026,32
8566,Narok County,Total Perinatal Deaths,May 2025,52
8567,Narok County,Total Perinatal Deaths,June 2025,37
8568,Narok County,Total Perinatal Deaths,July 2025,50
8569,Narok County,Total Perinatal Deaths,August 2025,63
8570,Narok County,Total Perinatal Deaths,September 2025,27
8571,Narok County,Total Perinatal Deaths,October 2025,40
8572,Narok County,Total Perinatal Deaths,November 2025,41
8573,Narok County,Total Perinatal Deaths,December 2025,61
8574,Narok County,Total Perinatal Deaths,January 2026,35
8575,Narok County,Total Perinatal Deaths,February 2026,66
8576,Narok County,Total Perinatal Deaths,March 2026,38
8577,Narok County,Total Perinatal Deaths,April 2026,38
8578,Nyamira County,Total Perinatal Deaths,May 2025,7
8579,Nyamira County,Total Perinatal Deaths,June 2025,8
8580,Nyamira County,Total Perinatal Deaths,July 2025,17
8581,Nyamira County,Total Perinatal Deaths,August 2025,13
8582,Nyamira County,Total Perinatal Deaths,September 2025,12
8583,Nyamira County,Total Perinatal Deaths,October 2025,20
8584,Nyamira County,Total Perinatal Deaths,November 2025,6
8585,Nyamira County,Total Perinatal Deaths,December 2025,17
8586,Nyamira County,Total Perinatal Deaths,January 2026,11
8587,Nyamira County,Total Perinatal Deaths,February 2026,17
8588,Nyamira County,Total Perinatal Deaths,March 2026,11
8589,Nyamira County,Total Perinatal Deaths,April 2026,21
8590,Nyandarua County,Total Perinatal Deaths,May 2025,11
8591,Nyandarua County,Total Perinatal Deaths,June 2025,10
8592,Nyandarua County,Total Perinatal Deaths,July 2025,7
8593,Nyandarua County,Total Perinatal Deaths,August 2025,9
8594,Nyandarua County,Total Perinatal Deaths,September 2025,16
8595,Nyandarua County,Total Perinatal Deaths,October 2025,18
8596,Nyandarua County,Total Perinatal Deaths,November 2025,11
8597,Nyandarua County,Total Perinatal Deaths,December 2025,23
8598,Nyandarua County,Total Perinatal Deaths,January 2026,14
8599,Nyandarua County,Total Perinatal Deaths,February 2026,8
8600,Nyandarua County,Total Perinatal Deaths,March 2026,15
8601,Nyandarua County,Total Perinatal Deaths,April 2026,4
8602,Nyeri County,Total Perinatal Deaths,May 2025,19
8603,Nyeri County,Total Perinatal Deaths,June 2025,18
8604,Nyeri County,Total Perinatal Deaths,July 2025,26
8605,Nyeri County,Total Perinatal Deaths,August 2025,21
8606,Nyeri County,Total Perinatal Deaths,September 2025,26
8607,Nyeri County,Total Perinatal Deaths,October 2025,24
8608,Nyeri County,Total Perinatal Deaths,November 2025,25
8609,Nyeri County,Total Perinatal Deaths,December 2025,27
8610,Nyeri County,Total Perinatal Deaths,January 2026,25
8611,Nyeri County,Total Perinatal Deaths,February 2026,31
8612,Nyeri County,Total Perinatal Deaths,March 2026,25
8613,Nyeri County,Total Perinatal Deaths,April 2026,26
8614,Samburu County,Total Perinatal Deaths,May 2025,12
8615,Samburu County,Total Perinatal Deaths,June 2025,15
8616,Samburu County,Total Perinatal Deaths,July 2025,9
8617,Samburu County,Total Perinatal Deaths,August 2025,9
8618,Samburu County,Total Perinatal Deaths,September 2025,11
8619,Samburu County,Total Perinatal Deaths,November 2025,11
8620,Samburu County,Total Perinatal Deaths,December 2025,4
8621,Samburu County,Total Perinatal Deaths,January 2026,9
8622,Samburu County,Total Perinatal Deaths,February 2026,3
8623,Samburu County,Total Perinatal Deaths,March 2026,19
8624,Samburu County,Total Perinatal Deaths,April 2026,13
8625,Siaya County,Total Perinatal Deaths,May 2025,41
8626,Siaya County,Total Perinatal Deaths,June 2025,25
8627,Siaya County,Total Perinatal Deaths,July 2025,35
8628,Siaya County,Total Perinatal Deaths,August 2025,48
8629,Siaya County,Total Perinatal Deaths,September 2025,32
8630,Siaya County,Total Perinatal Deaths,October 2025,25
8631,Siaya County,Total Perinatal Deaths,November 2025,30
8632,Siaya County,Total Perinatal Deaths,December 2025,33
8633,Siaya County,Total Perinatal Deaths,January 2026,42
8634,Siaya County,Total Perinatal Deaths,February 2026,32
8635,Siaya County,Total Perinatal Deaths,March 2026,38
8636,Siaya County,Total Perinatal Deaths,April 2026,38
8637,Taita Taveta County,Total Perinatal Deaths,May 2025,17
8638,Taita Taveta County,Total Perinatal Deaths,June 2025,14
8639,Taita Taveta County,Total Perinatal Deaths,July 2025,18
8640,Taita Taveta County,Total Perinatal Deaths,August 2025,14
8641,Taita Taveta County,Total Perinatal Deaths,September 2025,24
8642,Taita Taveta County,Total Perinatal Deaths,October 2025,13
8643,Taita Taveta County,Total Perinatal Deaths,November 2025,12
8644,Taita Taveta County,Total Perinatal Deaths,December 2025,9
8645,Taita Taveta County,Total Perinatal Deaths,January 2026,10
8646,Taita Taveta County,Total Perinatal Deaths,February 2026,12
8647,Taita Taveta County,Total Perinatal Deaths,March 2026,12
8648,Taita Taveta County,Total Perinatal Deaths,April 2026,16
8649,Tana River County,Total Perinatal Deaths,May 2025,22
8650,Tana River County,Total Perinatal Deaths,June 2025,27
8651,Tana River County,Total Perinatal Deaths,July 2025,28
8652,Tana River County,Total Perinatal Deaths,August 2025,16
8653,Tana River County,Total Perinatal Deaths,September 2025,14
8654,Tana River County,Total Perinatal Deaths,October 2025,17
8655,Tana River County,Total Perinatal Deaths,November 2025,29
8656,Tana River County,Total Perinatal Deaths,December 2025,20
8657,Tana River County,Total Perinatal Deaths,January 2026,16
8658,Tana River County,Total Perinatal Deaths,February 2026,22
8659,Tana River County,Total Perinatal Deaths,March 2026,32
8660,Tana River County,Total Perinatal Deaths,April 2026,12
8661,Tharaka Nithi County,Total Perinatal Deaths,May 2025,14
8662,Tharaka Nithi County,Total Perinatal Deaths,June 2025,10
8663,Tharaka Nithi County,Total Perinatal Deaths,July 2025,10
8664,Tharaka Nithi County,Total Perinatal Deaths,August 2025,8
8665,Tharaka Nithi County,Total Perinatal Deaths,September 2025,12
8666,Tharaka Nithi County,Total Perinatal Deaths,October 2025,13
8667,Tharaka Nithi County,Total Perinatal Deaths,November 2025,11
